time,y_1,y_2,width,y
1120,9.472000000000001,9.7955555556,3,10.09
45,0.5660000000000001,0.5733333333,2,0.5055555556
80,0.6,0.7911111111,3,0.444
445,7.735,7.96,3,7.289
550,10.327,10.482999999999999,3,10.449000000000002
995,14.425999999999998,12.7033333333,3,12.833
350,10.039,9.71,3,10.822000000000001
875,11.115,13.323,2,9.812000000000001
930,12.196,14.720999999999998,3,13.232000000000001
430,11.555,11.020999999999999,3,14.355
145,0.228,0.2655555556,2,0.41
310,2.1488888888999997,2.1390000000000002,3,2.655
1430,3.127,2.967,3,2.1830000000000003
505,6.2,6.2,3,5.51
320,7.49,4.772,2,6.428
880,9.4188888889,9.4188888889,3,8.283
155,0.4,0.36,3,0.32
340,8.449,8.661,3,9.71
235,1.085,1.4680000000000002,3,0.945
310,2.867,2.867,3,3.7411111111
910,10.616,10.639000000000001,3,10.689
230,1.195,1.034,3,1.55
1345,2.3155555556,3.245,3,3.555
135,0.4144444444,0.20600000000000002,2,0.2655555556
945,10.288,12.128,3,13.6922222222
290,2.9766666667000004,2.472,3,2.18125
1215,4.051,4.796,2,2.249
440,12.805,14.355,3,14.501
1410,1.073,0.711,2,0.9259999999999999
105,1.016,0.466,3,0.667
445,11.644,7.617000000000001,2,12.212
935,13.05,12.39,3,12.6555555556
125,0.361,0.6829999999999999,3,0.45
15,1.3277777778,0.9059999999999999,3,0.863
940,12.128,10.0785714286,3,10.288
370,4.4375,5.34,3,4.1422222222
330,8.744,7.877999999999999,2,9.007
1055,11.162,15.177,2,16.706
1110,9.722000000000001,10.677,3,9.61
1130,10.017000000000001,9.117,3,9.111
180,0.59,0.983,3,0.8390000000000001
675,5.25625,5.7075,3,6.095
1245,5.782,6.1610000000000005,3,5.755
1125,10.187999999999999,12.548,3,10.533
425,12.405,13.895,3,13.522
465,7.112,7.112,3,7.178
70,0.55,0.21600000000000003,2,0.6544444443999999
1150,8.443999999999999,8.84,3,9.837
760,7.428,6.322,3,6.504
655,10.04,10.017999999999999,3,7.917000000000001
920,9.173,11.767999999999999,2,12.800999999999998
1420,2.094,2.779,3,2.083
780,6.535,8.3328571429,3,6.1477777778
195,0.239,0.713,3,0.489
175,0.828,0.3266666667,3,0.634
595,10.145,11.124,3,9.306000000000001
975,10.821,11.4322222222,3,12.767000000000001
1415,3.5660000000000003,3.656,3,3.2889999999999997
475,6.44625,6.44625,3,6.0555555556
280,4.838,4.632,2,4.556
675,5.267,5.267,3,6.0225
1185,4.8633333333,6.1339999999999995,3,5.0825
305,4.388999999999999,4.066,3,3.66
960,10.956,12.622,3,14.1288888889
1385,2.282,2.294,3,0.9490000000000001
550,6.1875,5.994444444400001,3,5.551
420,12.705,11.915,3,11.020999999999999
745,7.255,6.789,2,7.472
940,14.975999999999999,13.232000000000001,3,16.211
200,0.735,0.605,3,0.42666666670000003
75,0.71375,0.4188888889,2,0.08
835,7.9079999999999995,8.15,2,8.122
25,0.42,0.973,2,0.644
275,4.632,3.245,2,4.838
360,3.6922222222000003,5.2457142857,3,5.34
975,12.7,12.4914285714,3,12.8644444444
1005,13.468,12.3711111111,3,13.595999999999998
950,14.720999999999998,14.720999999999998,3,12.489
1085,12.157,10.044,3,11.799000000000001
760,11.123,10.51,3,10.856
430,7.13,5.42875,3,7.042999999999999
925,16.544,15.345,3,14.577
1350,4.766,5.494,3,3.943
1050,22.131999999999998,25.034000000000002,3,20.19
1270,6.994,5.832999999999999,3,7.656000000000001
590,11.124,10.715,3,10.145
5,1.35,1.35,3,1.5988888889
430,7.54,9.033,2,8.322000000000001
835,7.461,7.706,3,8.7
660,6.6428571429,4.402222222200001,3,6.305
800,8.929,9.445,2,9.039
1110,9.935,8.123,2,7.596
410,11.0,12.607000000000001,2,9.367
520,5.79,4.088,3,4.26375
1020,12.806,12.005999999999998,2,12.544
170,0.1666666667,0.42666666670000003,2,0.7888888889
